target_species,target_species_c,cospecies_n,cospecies_native_n,cospecies_mean_c,cospecies_native_mean_c,cospecies_std_dev_c,cospecies_native_std_dev_c,percent_native,percent_nonnative,percent_native_low_c,percent_native_med_c,percent_native_high_c,discrepancy_c
Ammannia robusta,4,109,74,1.8807339449541285,2.77027027027027,2.4971271294792974,2.5937083902444744,0.6788990825688074,0.3211009174311926,0.7064220183486238,0.2477064220183487,0.04587155963302747,1.2297297297297298
Ammophila breviligulata,6,141,94,2.893617021276596,4.340425531914893,3.318136584762113,3.197960342876367,0.6666666666666666,0.33333333333333337,0.6099290780141844,0.24113475177304966,0.14893617021276595,1.6595744680851068
Amorpha canescens,10,1624,1312,4.274014778325123,5.290396341463414,3.3693430877049337,2.945003006931111,0.8078817733990148,0.1921182266009852,0.40455665024630544,0.3522167487684729,0.24322660098522164,4.709603658536586
Amorpha fruticosa,5,142,114,3.084507042253521,3.8421052631578947,2.903880890008113,2.7541728513323744,0.8028169014084507,0.19718309859154926,0.5985915492957746,0.2816901408450705,0.11971830985915488,1.1578947368421053
Ampelopsis brevipedunculata,0,961,752,3.432882414151925,4.386968085106383,2.524447323118633,1.9887808787798427,0.7825182101977107,0.21748178980228927,0.4724245577523413,0.4724245577523413,0.055150884495317354,-4.386968085106383
Amphicarpaea bracteata,4,5866,4734,3.4503920900102285,4.275454161385721,2.757120954686461,2.4272559550399264,0.8070235254006137,0.19297647459938627,0.485509717013297,0.42448005455165355,0.09001022843504947,-0.27545416138572065
Amphicarpaea bracteata,5,5866,4734,3.4503920900102285,4.275454161385721,2.757120954686461,2.4272559550399264,0.8070235254006137,0.19297647459938627,0.485509717013297,0.42448005455165355,0.09001022843504947,0.7245458386142793
Amphicarpaea bracteata var. bracteata,5,168,108,2.1488095238095237,3.3425925925925926,2.492239165752346,2.3804579667646735,0.6428571428571429,0.3571428571428571,0.6785714285714286,0.29166666666666663,0.029761904761904767,1.6574074074074074
Anagallis arvensis,0,29,20,2.2758620689655173,3.3,2.617203411005969,2.556724878680371,0.6896551724137931,0.31034482758620685,0.6551724137931034,0.27586206896551724,0.06896551724137934,-3.3
Anaphalis margaritacea,2,536,360,2.6194029850746268,3.9,2.542483225375966,2.1505975071786465,0.6716417910447762,0.32835820895522383,0.6156716417910447,0.33582089552238814,0.04850746268656714,-1.9
Anaphalis margaritacea,4,536,360,2.6194029850746268,3.9,2.542483225375966,2.1505975071786465,0.6716417910447762,0.32835820895522383,0.6156716417910447,0.33582089552238814,0.04850746268656714,0.10000000000000009
Andropogon gerardii,5,5789,4201,3.0575228882363104,4.213282551773387,3.127498168795935,2.934073181870905,0.7256866470893073,0.2743133529106927,0.5703921229918811,0.29452409742615304,0.13508377958196582,0.7867174482266126
Andropogon glomeratus,6,543,411,3.2523020257826887,4.29683698296837,2.418576104561685,1.7982280492927116,0.7569060773480663,0.24309392265193375,0.4972375690607735,0.47329650092081027,0.029465930018416242,1.7031630170316303
Andropogon virginicus,1,156,125,4.326923076923077,5.4,3.33343465520119,2.8369679407378214,0.8012820512820513,0.19871794871794868,0.3974358974358974,0.37179487179487186,0.23076923076923073,-4.4
Androsace occidentalis,3,11,9,5.363636363636363,6.555555555555555,3.1071764440638794,1.8104634152000358,0.8181818181818182,0.18181818181818177,0.18181818181818182,0.5454545454545454,0.2727272727272727,-3.5555555555555554
Anemone canadensis,4,1346,1008,3.6181277860326895,4.8313492063492065,3.3345903347168773,2.9974052607214063,0.7488855869242199,0.2511144130757801,0.4933135215453195,0.32095096582466565,0.18573551263001487,-0.8313492063492065
Anemone caroliniana,10,174,148,3.8735632183908044,4.554054054054054,2.902279740568115,2.606333948311211,0.8505747126436781,0.14942528735632188,0.42528735632183906,0.4425287356321839,0.13218390804597702,5.445945945945946
Anemone cylindrica,8,1230,999,4.3723577235772355,5.383383383383383,3.408153264722016,2.9758823760350737,0.8121951219512196,0.18780487804878043,0.3959349593495935,0.351219512195122,0.2528455284552845,2.616616616616617
Anemone patens var. multi?da,10,80,80,7,7,2.6624439139513734,2.6624439139513734,1,0,0.1,0.32499999999999996,0.575,3
Anemone quinquefolia,5,2962,2412,4.032410533423363,4.951907131011609,2.9850968670894495,2.527527520306191,0.8143146522619852,0.18568534773801482,0.4071573261309926,0.4436191762322755,0.14922349763673193,0.048092868988391047
Anemone quinquefolia,7,2962,2412,4.032410533423363,4.951907131011609,2.9850968670894495,2.527527520306191,0.8143146522619852,0.18568534773801482,0.4071573261309926,0.4436191762322755,0.14922349763673193,2.048092868988391
Anemone virginiana,5,912,713,3.6107456140350878,4.618513323983169,3.171430972921701,2.864994956591886,0.7817982456140351,0.2182017543859649,0.4934210526315789,0.34649122807017546,0.1600877192982456,0.38148667601683073
Angelica atropurpurea,7,1129,927,3.8148804251550046,4.646170442286947,3.1682027828250714,2.8914754999879158,0.8210806023029229,0.1789193976970771,0.4579273693534101,0.36403897254207257,0.17803365810451732,2.353829557713053
Anomodon attenuatus,4,626,502,3.6629392971246006,4.567729083665339,2.4066176070803738,1.756196449822746,0.8019169329073482,0.19808306709265178,0.42012779552715657,0.5431309904153354,0.036741214057507965,-0.5677290836653386
Anomodon viticulosus,9,174,132,3.206896551724138,4.2272727272727275,2.3880140540173906,1.7845430877180513,0.7586206896551724,0.24137931034482762,0.5057471264367817,0.47126436781609193,0.02298850574712641,4.7727272727272725
Antennaria neglecta,3,651,556,4.921658986175115,5.762589928057554,3.3652076420779586,2.8997240845765218,0.8540706605222734,0.14592933947772657,0.32872503840245776,0.36405529953917054,0.3072196620583717,-2.7625899280575537
Antennaria plantaginifolia,2,2348,1978,4.581771720613288,5.4388270980788676,3.2242754545665653,2.770892319865407,0.8424190800681431,0.15758091993185686,0.36712095400340716,0.389267461669506,0.24361158432708685,-3.4388270980788676
Antennaria plantaginifolia,4,2348,1978,4.581771720613288,5.4388270980788676,3.2242754545665653,2.770892319865407,0.8424190800681431,0.15758091993185686,0.36712095400340716,0.389267461669506,0.24361158432708685,-1.4388270980788676
Anthoxanthum hirtum,10,450,361,4.271111111111111,5.32409972299169,3.378473859950777,2.93498075538361,0.8022222222222222,0.19777777777777783,0.41333333333333333,0.35111111111111115,0.23555555555555552,4.67590027700831
